Class,Course,Term Name,Class Ave,Class Ave,Credits,
ACCT362-202309,ACCT362,F2023,A-,3.70,3.00,#REF!
ACCT362-202401,ACCT362,W2024,B+,3.30,3.00,#REF!
ACCT362-202409,ACCT362,F2024,B+,3.30,3.00,#REF!
ACCT385-201701,ACCT385,W2017,B,3.00,3.00,#REF!
ACCT385-201709,ACCT385,F2017,B,3.00,3.00,#REF!
ACCT385-201801,ACCT385,W2018,B+,3.30,3.00,#REF!
ACCT385-201901,ACCT385,W2019,B+,3.30,3.00,#REF!
ACCT385-201909,ACCT385,F2019,B+,3.30,3.00,#REF!
ACCT385-202009,ACCT385,F2020,B+,3.30,3.00,#REF!
ACCT385-202101,ACCT385,W2021,B+,3.30,3.00,#REF!
ACCT385-202109,ACCT385,F2021,B,3.00,3.00,#REF!
ACCT385-202201,ACCT385,W2022,B+,3.30,3.00,#REF!
ACCT385-202209,ACCT385,F2022,B+,3.30,3.00,#REF!
ACCT385-202309,ACCT385,F2023,B+,3.30,3.00,#REF!
ACCT385-202401,ACCT385,W2024,B+,3.30,3.00,#REF!
ACCT452-201801,ACCT452,W2018,B+,3.30,3.00,#REF!
ACCT452-202301,ACCT452,W2023,B+,3.30,3.00,#REF!
ACCT453-202009,ACCT453,F2020,B+,3.30,3.00,#REF!
ACCT453-202401,ACCT453,W2024,B+,3.30,3.00,#REF!
ACCT455-202101,ACCT455,W2021,B+,3.30,3.00,#REF!
ACCT455-202409,ACCT455,F2024,A-,3.70,3.00,#REF!
ACCT463-202101,ACCT463,W2021,A-,3.70,3.00,#REF!
ACCT475-201701,ACCT475,W2017,B+,3.30,3.00,#REF!
ACCT475-202101,ACCT475,W2021,B+,3.30,3.00,#REF!
ACCT475-202409,ACCT475,F2024,B,3.00,3.00,#REF!
ACCT486-201909,ACCT486,F2019,B+,3.30,3.00,#REF!
ACCT486-202009,ACCT486,F2020,B+,3.30,3.00,#REF!
ACCT486-202101,ACCT486,W2021,B+,3.30,3.00,#REF!
AEBI120-201109,AEBI120,F2011,B+,3.30,3.00,#REF!
AEBI120-201309,AEBI120,F2013,A-,3.70,3.00,#REF!
AEBI120-201409,AEBI120,F2014,A-,3.70,3.00,#REF!
AEBI120-201509,AEBI120,F2015,B+,3.30,3.00,#REF!
AEBI120-201609,AEBI120,F2016,B+,3.30,3.00,#REF!
AEBI120-201709,AEBI120,F2017,B+,3.30,3.00,#REF!
AEBI120-201809,AEBI120,F2018,B+,3.30,3.00,#REF!
AEBI120-201909,AEBI120,F2019,B+,3.30,3.00,#REF!
AEBI120-202009,AEBI120,F2020,B+,3.30,3.00,#REF!
AEBI120-202109,AEBI120,F2021,B,3.00,3.00,#REF!
AEBI120-202209,AEBI120,F2022,B-,2.70,3.00,#REF!
AEBI120-202309,AEBI120,F2023,B,3.00,3.00,#REF!
AEBI120-202409,AEBI120,F2024,B+,3.30,3.00,#REF!
AEBI122-201501,AEBI122,W2015,B,3.00,3.00,#REF!
AEBI122-201601,AEBI122,W2016,B+,3.30,3.00,#REF!
AEBI122-201701,AEBI122,W2017,B,3.00,3.00,#REF!
AEBI122-201801,AEBI122,W2018,B-,2.70,3.00,#REF!
AEBI122-201901,AEBI122,W2019,C+,2.30,3.00,#REF!
AEBI122-202101,AEBI122,W2021,B+,3.30,3.00,#REF!
AEBI122-202201,AEBI122,W2022,B,3.00,3.00,#REF!
AEBI122-202301,AEBI122,W2023,B,3.00,3.00,#REF!
AEBI122-202401,AEBI122,W2024,B,3.00,3.00,#REF!
AEBI210-201309,AEBI210,F2013,A-,3.70,3.00,#REF!
AEBI210-201409,AEBI210,F2014,B,3.00,3.00,#REF!
AEBI210-201509,AEBI210,F2015,B+,3.30,3.00,#REF!
AEBI210-201609,AEBI210,F2016,B+,3.30,3.00,#REF!
AEBI210-201709,AEBI210,F2017,B+,3.30,3.00,#REF!
AEBI210-201809,AEBI210,F2018,B+,3.30,3.00,#REF!
AEBI210-201909,AEBI210,F2019,B+,3.30,3.00,#REF!
AEBI210-202009,AEBI210,F2020,A-,3.70,3.00,#REF!
AEBI210-202109,AEBI210,F2021,A-,3.70,3.00,#REF!
AEBI210-202209,AEBI210,F2022,B+,3.30,3.00,#REF!
AEBI210-202309,AEBI210,F2023,A-,3.70,3.00,#REF!
AEBI210-202409,AEBI210,F2024,B+,3.30,3.00,#REF!
AEBI211-201401,AEBI211,W2014,B,3.00,3.00,#REF!
AEBI211-201501,AEBI211,W2015,B+,3.30,3.00,#REF!
AEBI211-201601,AEBI211,W2016,B+,3.30,3.00,#REF!
AEBI211-201701,AEBI211,W2017,B+,3.30,3.00,#REF!
AEBI211-201801,AEBI211,W2018,B+,3.30,3.00,#REF!
AEBI211-201901,AEBI211,W2019,B+,3.30,3.00,#REF!
AEBI211-202101,AEBI211,W2021,A-,3.70,3.00,#REF!
AEBI211-202201,AEBI211,W2022,B+,3.30,3.00,#REF!
AEBI211-202301,AEBI211,W2023,B,3.00,3.00,#REF!
AEBI211-202401,AEBI211,W2024,B+,3.30,3.00,#REF!
AEBI211-202501,AEBI211,W2025,B+,3.30,3.00,#REF!
AEBI212-201401,AEBI212,W2014,B+,3.30,3.00,#REF!
AEBI212-201501,AEBI212,W2015,A-,3.70,3.00,#REF!
AEBI212-201601,AEBI212,W2016,A-,3.70,3.00,#REF!
AEBI212-201701,AEBI212,W2017,A-,3.70,3.00,#REF!
AEBI212-201801,AEBI212,W2018,B+,3.30,3.00,#REF!
AEBI212-201901,AEBI212,W2019,B+,3.30,3.00,#REF!
AEBI212-202101,AEBI212,W2021,A,4.00,3.00,#REF!
AEBI212-202201,AEBI212,W2022,A,4.00,3.00,#REF!
AEBI212-202301,AEBI212,W2023,A,4.00,3.00,#REF!
AEBI212-202401,AEBI212,W2024,A,4.00,3.00,#REF!
AEBI212-202501,AEBI212,W2025,A-,3.70,3.00,#REF!
AECH110-201109,AECH110,F2011,B+,3.30,4.00,#REF!
AECH110-201309,AECH110,F2013,B+,3.30,4.00,#REF!
AECH110-201409,AECH110,F2014,B,3.00,4.00,#REF!
AECH110-201509,AECH110,F2015,B+,3.30,4.00,#REF!
AECH110-201609,AECH110,F2016,B+,3.30,4.00,#REF!
AECH110-201709,AECH110,F2017,B+,3.30,4.00,#REF!
AECH110-201809,AECH110,F2018,B+,3.30,4.00,#REF!
AECH110-201909,AECH110,F2019,B+,3.30,4.00,#REF!
AECH110-202009,AECH110,F2020,A-,3.70,4.00,#REF!
AECH110-202109,AECH110,F2021,A-,3.70,4.00,#REF!
AECH110-202209,AECH110,F2022,B+,3.30,4.00,#REF!
AECH110-202309,AECH110,F2023,B,3.00,4.00,#REF!
AECH110-202409,AECH110,F2024,B,3.00,4.00,#REF!
AECH111-201201,AECH111,W2012,B,3.00,4.00,#REF!
AECH111-201401,AECH111,W2014,B,3.00,4.00,#REF!
AECH111-201501,AECH111,W2015,B-,2.70,4.00,#REF!
AECH111-201601,AECH111,W2016,B-,2.70,4.00,#REF!
AECH111-201701,AECH111,W2017,B,3.00,4.00,#REF!
AECH111-201801,AECH111,W2018,B,3.00,4.00,#REF!
AECH111-201901,AECH111,W2019,B+,3.30,4.00,#REF!
AECH111-202101,AECH111,W2021,A-,3.70,4.00,#REF!
AECH111-202201,AECH111,W2022,B+,3.30,4.00,#REF!
AECH111-202301,AECH111,W2023,B,3.00,4.00,#REF!
AECH111-202401,AECH111,W2024,B,3.00,4.00,#REF!
AEHM205-201401,AEHM205,W2014,B,3.00,3.00,#REF!
AEHM205-201601,AEHM205,W2016,A-,3.70,3.00,#REF!
AEHM205-201609,AEHM205,F2016,B,3.00,3.00,#REF!
AEHM205-201701,AEHM205,W2017,B+,3.30,3.00,#REF!
AEHM205-201709,AEHM205,F2017,B+,3.30,3.00,#REF!
AEHM205-201809,AEHM205,F2018,B,3.00,3.00,#REF!
AEHM205-201901,AEHM205,W2019,B+,3.30,3.00,#REF!
AEHM205-201909,AEHM205,F2019,B,3.00,3.00,#REF!
AEHM205-202009,AEHM205,F2020,B,3.00,3.00,#REF!
AEHM205-202101,AEHM205,W2021,B+,3.30,3.00,#REF!
AEHM205-202201,AEHM205,W2022,B,3.00,3.00,#REF!
AEHM205-202209,AEHM205,F2022,B-,2.70,3.00,#REF!
AEHM205-202301,AEHM205,W2023,B,3.00,3.00,#REF!
AEHM205-202309,AEHM205,F2023,B+,3.30,3.00,#REF!
AEHM205-202409,AEHM205,F2024,B-,2.70,3.00,#REF!
AEHM205-202501,AEHM205,W2025,B+,3.30,3.00,#REF!
AEMA101-201109,AEMA101,F2011,C,2.00,3.00,#REF!
AEMA101-201309,AEMA101,F2013,B-,2.70,3.00,#REF!
AEMA101-201409,AEMA101,F2014,C+,2.30,3.00,#REF!
AEMA101-201509,AEMA101,F2015,B-,2.70,3.00,#REF!
AEMA101-201609,AEMA101,F2016,B-,2.70,3.00,#REF!
AEMA101-201709,AEMA101,F2017,B-,2.70,3.00,#REF!
AEMA101-201809,AEMA101,F2018,C+,2.30,3.00,#REF!
AEMA101-201909,AEMA101,F2019,B,3.00,3.00,#REF!
AEMA101-202009,AEMA101,F2020,B+,3.30,3.00,#REF!
AEMA101-202109,AEMA101,F2021,B,3.00,3.00,#REF!
AEMA101-202209,AEMA101,F2022,B-,2.70,3.00,#REF!
AEMA101-202309,AEMA101,F2023,B,3.00,3.00,#REF!
AEMA101-202409,AEMA101,F2024,B-,2.70,4.00,#REF!
AEMA102-201201,AEMA102,W2012,B-,2.70,4.00,#REF!
AEMA102-201401,AEMA102,W2014,B-,2.70,4.00,#REF!
AEMA102-201501,AEMA102,W2015,B-,2.70,4.00,#REF!
AEMA102-201601,AEMA102,W2016,B,3.00,4.00,#REF!
AEMA102-201701,AEMA102,W2017,B,3.00,4.00,#REF!
AEMA102-201801,AEMA102,W2018,B-,2.70,4.00,#REF!
AEMA102-201901,AEMA102,W2019,B-,2.70,4.00,#REF!
AEMA102-202101,AEMA102,W2021,B+,3.30,4.00,#REF!
AEMA102-202201,AEMA102,W2022,C+,2.30,4.00,#REF!
AEMA102-202301,AEMA102,W2023,B-,2.70,4.00,#REF!
AEMA102-202401,AEMA102,W2024,C+,2.30,4.00,#REF!
AEMA202-201509,AEMA202,F2015,B-,2.70,3.00,#REF!
AEMA202-201609,AEMA202,F2016,B-,2.70,3.00,#REF!
AEMA202-201909,AEMA202,F2019,B+,3.30,3.00,#REF!
AEMA202-202009,AEMA202,F2020,B+,3.30,3.00,#REF!
AEMA202-202109,AEMA202,F2021,B,3.00,3.00,#REF!
AEMA202-202209,AEMA202,F2022,B+,3.30,3.00,#REF!
AEMA202-202309,AEMA202,F2023,B-,2.70,3.00,#REF!
AEMA305-201601,AEMA305,W2016,B-,2.70,3.00,#REF!
AEMA305-201701,AEMA305,W2017,B-,2.70,3.00,#REF!
AEMA305-201801,AEMA305,W2018,B+,3.30,3.00,#REF!
AEMA305-202101,AEMA305,W2021,B,3.00,3.00,#REF!
AEMA305-202201,AEMA305,W2022,B+,3.30,3.00,#REF!
AEMA305-202301,AEMA305,W2023,B+,3.30,3.00,#REF!
AEMA305-202401,AEMA305,W2024,B+,3.30,3.00,#REF!
AEMA310-201409,AEMA310,F2014,B+,3.30,3.00,#REF!
AEMA310-201509,AEMA310,F2015,B+,3.30,3.00,#REF!
AEMA310-201609,AEMA310,F2016,B+,3.30,3.00,#REF!
AEMA310-201701,AEMA310,W2017,B+,3.30,3.00,#REF!
AEMA310-201709,AEMA310,F2017,B-,2.70,3.00,#REF!
AEMA310-201801,AEMA310,W2018,B+,3.30,3.00,#REF!
AEMA310-201809,AEMA310,F2018,B+,3.30,3.00,#REF!
AEMA310-201901,AEMA310,W2019,B,3.00,3.00,#REF!
AEMA310-201909,AEMA310,F2019,B,3.00,3.00,#REF!
AEMA310-202009,AEMA310,F2020,A-,3.70,3.00,#REF!
AEMA310-202101,AEMA310,W2021,B+,3.30,3.00,#REF!
AEMA310-202109,AEMA310,F2021,A-,3.70,3.00,#REF!
AEMA310-202201,AEMA310,W2022,B+,3.30,3.00,#REF!
AEMA310-202209,AEMA310,F2022,B,3.00,3.00,#REF!
AEMA310-202301,AEMA310,W2023,B,3.00,3.00,#REF!
AEMA310-202309,AEMA310,F2023,B+,3.30,3.00,#REF!
AEMA310-202401,AEMA310,W2024,B-,2.70,3.00,#REF!
AEMA310-202409,AEMA310,F2024,B,3.00,3.00,#REF!
AEMA310-202501,AEMA310,W2025,B,3.00,3.00,#REF!
AEPH112-201309,AEPH112,F2013,B+,3.30,4.00,#REF!
AEPH112-201409,AEPH112,F2014,B+,3.30,4.00,#REF!
AEPH112-201509,AEPH112,F2015,B,3.00,4.00,#REF!
AEPH112-201609,AEPH112,F2016,B,3.00,4.00,#REF!
AEPH112-201709,AEPH112,F2017,B,3.00,4.00,#REF!
AEPH112-201809,AEPH112,F2018,B-,2.70,4.00,#REF!
AEPH112-201909,AEPH112,F2019,B-,2.70,4.00,#REF!
AEPH112-202009,AEPH112,F2020,B+,3.30,4.00,#REF!
AEPH112-202109,AEPH112,F2021,B-,2.70,4.00,#REF!
AEPH112-202209,AEPH112,F2022,B-,2.70,4.00,#REF!
AEPH112-202309,AEPH112,F2023,B-,2.70,4.00,#REF!
AEPH112-202409,AEPH112,F2024,B-,2.70,4.00,#REF!
AEPH113-201609,AEPH113,F2016,C+,2.30,4.00,#REF!
AEPH113-201709,AEPH113,F2017,B,3.00,4.00,#REF!
AEPH113-201809,AEPH113,F2018,B-,2.70,4.00,#REF!
AEPH114-201401,AEPH114,W2014,B+,3.30,4.00,#REF!
AEPH114-201501,AEPH114,W2015,B,3.00,4.00,#REF!
AEPH114-201601,AEPH114,W2016,B,3.00,4.00,#REF!
AEPH114-201701,AEPH114,W2017,B-,2.70,4.00,#REF!
AEPH114-201801,AEPH114,W2018,B,3.00,4.00,#REF!
AEPH114-201901,AEPH114,W2019,C+,2.30,4.00,#REF!
AEPH114-202101,AEPH114,W2021,B,3.00,4.00,#REF!
AEPH114-202201,AEPH114,W2022,B,3.00,4.00,#REF!
AEPH114-202301,AEPH114,W2023,B,3.00,4.00,#REF!
AEPH114-202401,AEPH114,W2024,B,3.00,4.00,#REF!
AEPH115-201701,AEPH115,W2017,B-,2.70,4.00,#REF!
AEPH115-201901,AEPH115,W2019,C+,2.30,4.00,#REF!
AEPH115-202101,AEPH115,W2021,B+,3.30,4.00,#REF!
AERO401-201909,AERO401,F2019,A,4.00,3.00,#REF!
AERO401-202209,AERO401,F2022,A,4.00,3.00,#REF!
AERO401-202309,AERO401,F2023,A-,3.70,3.00,#REF!
AERO401-202409,AERO401,F2024,A,4.00,3.00,#REF!
AERO410-202301,AERO410,W2023,A,4.00,3.00,#REF!
AFRI200-201601,AFRI200,W2016,B+,3.30,3.00,#REF!
AFRI200-201609,AFRI200,F2016,B+,3.30,3.00,#REF!
AFRI200-201709,AFRI200,F2017,A-,3.70,3.00,#REF!
AFRI200-201809,AFRI200,F2018,B+,3.30,3.00,#REF!
AFRI200-201909,AFRI200,F2019,A-,3.70,3.00,#REF!
AFRI200-202009,AFRI200,F2020,B+,3.30,3.00,#REF!
AFRI200-202109,AFRI200,F2021,B+,3.30,3.00,#REF!
AFRI200-202209,AFRI200,F2022,A,4.00,3.00,#REF!
AFRI200-202309,AFRI200,F2023,A-,3.70,3.00,#REF!
AFRI200-202409,AFRI200,F2024,A,4.00,3.00,#REF!
AFRI401-201609,AFRI401,F2016,A,4.00,3.00,#REF!
AFRI401-201709,AFRI401,F2017,A,4.00,3.00,#REF!
AFRI401-201809,AFRI401,F2018,A,4.00,3.00,#REF!
AGEC200-201609,AGEC200,F2016,A,4.00,3.00,#REF!
AGEC200-201709,AGEC200,F2017,B+,3.30,3.00,#REF!
AGEC200-201809,AGEC200,F2018,B+,3.30,3.00,#REF!
AGEC200-201909,AGEC200,F2019,A-,3.70,3.00,#REF!
AGEC200-202109,AGEC200,F2021,A,4.00,3.00,#REF!
AGEC200-202209,AGEC200,F2022,B+,3.30,3.00,#REF!
AGEC200-202309,AGEC200,F2023,A-,3.70,3.00,#REF!
AGEC200-202409,AGEC200,F2024,A-,3.70,3.00,#REF!
AGEC231-201801,AGEC231,W2018,B+,3.30,3.00,#REF!
AGEC330-201709,AGEC330,F2017,B+,3.30,3.00,#REF!
AGEC430-201901,AGEC430,W2019,A-,3.70,3.00,#REF!
AGEC430-202201,AGEC430,W2022,A-,3.70,3.00,#REF!
AGEC442-201901,AGEC442,W2019,A-,3.70,3.00,#REF!
AGRI215-201809,AGRI215,F2018,A,4.00,3.00,#REF!
AGRI325-201905,AGRI325,S2019,A-,3.70,3.00,#REF!
AGRI330-201801,AGRI330,W2018,A,4.00,1.00,#REF!
AGRI340-202101,AGRI340,W2021,A,4.00,3.00,#REF!
AGRI340-202105,AGRI340,S2021,A,4.00,3.00,#REF!
AGRI340-202301,AGRI340,W2023,A,4.00,3.00,#REF!
AGRI340-202401,AGRI340,W2024,A,4.00,3.00,#REF!
AGRI411-201301,AGRI411,W2013,A-,3.70,3.00,#REF!
AGRI411-201801,AGRI411,W2018,A-,3.70,3.00,#REF!
AGRI411-201901,AGRI411,W2019,A-,3.70,3.00,#REF!
AGRI411-202201,AGRI411,W2022,A,4.00,3.00,#REF!
AGRI411-202301,AGRI411,W2023,A-,3.70,3.00,#REF!
AGRI411-202401,AGRI411,W2024,A,4.00,3.00,#REF!
AGRI510-202101,AGRI510,W2021,A,4.00,3.00,#REF!
AGRI550-201401,AGRI550,W2014,A-,3.70,3.00,#REF!
ANAT212-201401,ANAT212,W2014,B+,3.30,3.00,#REF!
ANAT212-201501,ANAT212,W2015,B+,3.30,3.00,#REF!
ANAT212-201601,ANAT212,W2016,B+,3.30,3.00,#REF!
ANAT212-201701,ANAT212,W2017,B+,3.30,3.00,#REF!
ANAT212-201801,ANAT212,W2018,B+,3.30,3.00,#REF!
ANAT212-201901,ANAT212,W2019,B+,3.30,3.00,#REF!
ANAT212-202101,ANAT212,W2021,B+,3.30,3.00,#REF!
ANAT212-202201,ANAT212,W2022,B-,2.70,3.00,#REF!
ANAT212-202301,ANAT212,W2023,B+,3.30,3.00,#REF!
ANAT212-202401,ANAT212,W2024,B+,3.30,3.00,#REF!
ANAT212-202501,ANAT212,W2025,A-,3.70,3.00,#REF!
ANAT214-201409,ANAT214,F2014,B+,3.30,3.00,#REF!
ANAT214-201509,ANAT214,F2015,B+,3.30,3.00,#REF!
ANAT214-201609,ANAT214,F2016,B+,3.30,3.00,#REF!
ANAT214-201709,ANAT214,F2017,B+,3.30,3.00,#REF!
ANAT214-201809,ANAT214,F2018,B+,3.30,3.00,#REF!
ANAT214-201909,ANAT214,F2019,B,3.00,3.00,#REF!
ANAT214-202009,ANAT214,F2020,A,4.00,3.00,#REF!
ANAT214-202109,ANAT214,F2021,B+,3.30,3.00,#REF!
ANAT214-202209,ANAT214,F2022,A-,3.70,3.00,#REF!
ANAT214-202309,ANAT214,F2023,B+,3.30,3.00,#REF!
ANAT214-202409,ANAT214,F2024,B+,3.30,3.00,#REF!
ANAT261-201309,ANAT261,F2013,B,3.00,4.00,#REF!
ANAT261-201409,ANAT261,F2014,B+,3.30,4.00,#REF!
ANAT261-201509,ANAT261,F2015,B+,3.30,4.00,#REF!
ANAT261-201609,ANAT261,F2016,B,3.00,4.00,#REF!
ANAT261-201709,ANAT261,F2017,A-,3.70,4.00,#REF!
ANAT261-201809,ANAT261,F2018,B+,3.30,4.00,#REF!
ANAT261-201909,ANAT261,F2019,B,3.00,4.00,#REF!
ANAT261-202009,ANAT261,F2020,A-,3.70,4.00,#REF!
ANAT261-202109,ANAT261,F2021,B+,3.30,4.00,#REF!
ANAT261-202209,ANAT261,F2022,B+,3.30,4.00,#REF!
ANAT261-202309,ANAT261,F2023,A-,3.70,4.00,#REF!
ANAT261-202409,ANAT261,F2024,A-,3.70,4.00,#REF!
ANAT262-201401,ANAT262,W2014,B+,3.30,3.00,#REF!
ANAT262-201501,ANAT262,W2015,B+,3.30,3.00,#REF!
ANAT262-201601,ANAT262,W2016,B,3.00,3.00,#REF!
ANAT262-201701,ANAT262,W2017,B,3.00,3.00,#REF!
ANAT262-201801,ANAT262,W2018,B+,3.30,3.00,#REF!
ANAT262-201901,ANAT262,W2019,B+,3.30,3.00,#REF!
ANAT262-202101,ANAT262,W2021,A-,3.70,3.00,#REF!
ANAT262-202201,ANAT262,W2022,A-,3.70,3.00,#REF!
ANAT262-202301,ANAT262,W2023,B+,3.30,3.00,#REF!
ANAT262-202401,ANAT262,W2024,B,3.00,3.00,#REF!
ANAT262-202501,ANAT262,W2025,B,3.00,3.00,#REF!
ANAT314-201901,ANAT314,W2019,B,3.00,3.00,#REF!
ANAT314-202101,ANAT314,W2021,A-,3.70,3.00,#REF!
ANAT314-202201,ANAT314,W2022,A-,3.70,3.00,#REF!
ANAT314-202301,ANAT314,W2023,B+,3.30,3.00,#REF!
ANAT314-202401,ANAT314,W2024,A-,3.70,3.00,#REF!
ANAT314-202501,ANAT314,W2025,A-,3.70,3.00,#REF!
ANAT315-201409,ANAT315,F2014,B+,3.30,3.00,#REF!
ANAT315-201509,ANAT315,F2015,B,3.00,3.00,#REF!
ANAT315-201609,ANAT315,F2016,B+,3.30,3.00,#REF!
ANAT315-201709,ANAT315,F2017,B+,3.30,3.00,#REF!
ANAT315-201809,ANAT315,F2018,B+,3.30,3.00,#REF!
ANAT315-201909,ANAT315,F2019,A-,3.70,3.00,#REF!
ANAT315-202009,ANAT315,F2020,A-,3.70,3.00,#REF!
ANAT315-202109,ANAT315,F2021,B+,3.30,3.00,#REF!
ANAT315-202209,ANAT315,F2022,B,3.00,3.00,#REF!
ANAT315-202309,ANAT315,F2023,B+,3.30,3.00,#REF!
ANAT315-202409,ANAT315,F2024,A-,3.70,3.00,#REF!
ANAT316-201501,ANAT316,W2015,A-,3.70,3.00,#REF!
ANAT316-201701,ANAT316,W2017,B+,3.30,3.00,#REF!
ANAT316-201801,ANAT316,W2018,B+,3.30,3.00,#REF!
ANAT316-201901,ANAT316,W2019,B+,3.30,3.00,#REF!
ANAT316-202101,ANAT316,W2021,A-,3.70,3.00,#REF!
ANAT316-202201,ANAT316,W2022,B+,3.30,3.00,#REF!
ANAT316-202301,ANAT316,W2023,B+,3.30,3.00,#REF!
ANAT316-202401,ANAT316,W2024,B,3.00,3.00,#REF!
ANAT321-201509,ANAT321,F2015,A-,3.70,3.00,#REF!
ANAT321-201609,ANAT321,F2016,A-,3.70,3.00,#REF!
ANAT321-201709,ANAT321,F2017,A-,3.70,3.00,#REF!
ANAT321-201809,ANAT321,F2018,A,4.00,3.00,#REF!
ANAT321-201909,ANAT321,F2019,A,4.00,3.00,#REF!
ANAT321-202009,ANAT321,F2020,A,4.00,3.00,#REF!
ANAT321-202109,ANAT321,F2021,A-,3.70,3.00,#REF!
ANAT321-202209,ANAT321,F2022,A-,3.70,3.00,#REF!
ANAT321-202309,ANAT321,F2023,A-,3.70,3.00,#REF!
ANAT321-202409,ANAT321,F2024,A-,3.70,3.00,#REF!
ANAT322-201501,ANAT322,W2015,B+,3.30,3.00,#REF!
ANAT322-201701,ANAT322,W2017,B+,3.30,3.00,#REF!
ANAT322-201801,ANAT322,W2018,B+,3.30,3.00,#REF!
ANAT322-201901,ANAT322,W2019,B+,3.30,3.00,#REF!
ANAT322-202101,ANAT322,W2021,A-,3.70,3.00,#REF!
ANAT322-202201,ANAT322,W2022,B,3.00,3.00,#REF!
ANAT322-202301,ANAT322,W2023,B,3.00,3.00,#REF!
ANAT322-202401,ANAT322,W2024,B+,3.30,3.00,#REF!
ANAT322-202501,ANAT322,W2025,B+,3.30,3.00,#REF!
ANAT323-201509,ANAT323,F2015,B+,3.30,3.00,#REF!
ANAT323-202109,ANAT323,F2021,A-,3.70,3.00,#REF!
ANAT323-202209,ANAT323,F2022,A-,3.70,3.00,#REF!
ANAT323-202409,ANAT323,F2024,A-,3.70,3.00,#REF!
ANAT365-201409,ANAT365,F2014,B-,2.70,3.00,#REF!
ANAT365-201509,ANAT365,F2015,B,3.00,3.00,#REF!
ANAT365-201709,ANAT365,F2017,B+,3.30,3.00,#REF!
ANAT365-201809,ANAT365,F2018,B,3.00,3.00,#REF!
ANAT365-201909,ANAT365,F2019,B+,3.30,3.00,#REF!
ANAT365-202009,ANAT365,F2020,A-,3.70,3.00,#REF!
